gene,correlation,pvalue,abs_corr
TMSB10,0.3452942595339479,0.0,0.3452942595339479
HLA-DPA1,0.3380863169582533,0.0,0.3380863169582533
CD74,0.3350203219143306,0.0,0.3350203219143306
HLA-DRA,0.3328337519467995,0.0,0.3328337519467995
HLA-DRB1,0.317177254070648,0.0,0.317177254070648
HLA-DPB1,0.2875381050717389,0.0,0.2875381050717389
PF4,-0.2846169627091297,0.0,0.2846169627091297
MT-CO2,0.27757287769932143,0.0,0.27757287769932143
CMTM5,-0.277043072514487,0.0,0.277043072514487
PPBP,-0.27660260188750424,0.0,0.27660260188750424
EMP3,0.27296878303200267,0.0,0.27296878303200267
GNG11,-0.27179089205931034,0.0,0.27179089205931034
JUNB,0.270273834118848,0.0,0.270273834118848
ITGA2B,-0.26936545088421926,0.0,0.26936545088421926
GP9,-0.2688520328568955,0.0,0.2688520328568955
MYL9,-0.2676502353798399,0.0,0.2676502353798399
TREML1,-0.2674128212010048,0.0,0.2674128212010048
KLF2,0.2668787696769676,0.0,0.2668787696769676
CD79A,0.2612262623013924,0.0,0.2612262623013924
CLEC1B,-0.2593402129573326,0.0,0.2593402129573326
PTMA,0.2589609695659187,0.0,0.2589609695659187
RPS19,0.2585329941169036,0.0,0.2585329941169036
CAVIN2,-0.25808182272160424,0.0,0.25808182272160424
CD37,0.25646230201269266,0.0,0.25646230201269266
LCN2,-0.25520751226789695,0.0,0.25520751226789695
F13A1,-0.2549728953260313,0.0,0.2549728953260313
EZR,0.2527362565358816,0.0,0.2527362565358816
PFDN5,0.24959101545172527,0.0,0.24959101545172527
RPL41,0.2486409733509469,0.0,0.2486409733509469
MPIG6B,-0.24758016751161857,0.0,0.24758016751161857
TMEM40,-0.2453641102205309,0.0,0.2453641102205309
HLA-DMA,0.2433572030011322,0.0,0.2433572030011322
TUBB1,-0.24237466832537774,0.0,0.24237466832537774
SPARC,-0.24203331120298677,0.0,0.24203331120298677
LY6E,0.23957479685139296,0.0,0.23957479685139296
CA2,-0.23849655610730727,0.0,0.23849655610730727
HLA-DQB1,0.23800404340522904,0.0,0.23800404340522904
PSME1,0.23718104511864796,0.0,0.23718104511864796
LAPTM5,0.23622662029376332,0.0,0.23622662029376332
SNCA,-0.23590447561841446,0.0,0.23590447561841446
S100A10,0.2339014188560141,0.0,0.2339014188560141
HBB,-0.23323278747164367,0.0,0.23323278747164367
CRIP1,0.23072247314388525,0.0,0.23072247314388525
RPL18A,0.23060538818385384,0.0,0.23060538818385384
IGHM,0.2301167943241879,0.0,0.2301167943241879
CTSS,0.22854587155257594,0.0,0.22854587155257594
JUND,0.22829852813628465,0.0,0.22829852813628465
HLA-DQA1,0.22816256737132912,0.0,0.22816256737132912
S100A4,0.2246276365895452,0.0,0.2246276365895452
CD83,0.22431481118787241,0.0,0.22431481118787241
HLA-DRB5,0.22399935678417998,0.0,0.22399935678417998
MS4A1,0.2238320476378898,0.0,0.2238320476378898
REL,0.2232295823033613,0.0,0.2232295823033613
HLA-DQA2,0.2229658559791709,0.0,0.2229658559791709
IGHD,0.22187022695500616,0.0,0.22187022695500616
MT-ND3,0.22139493516488776,0.0,0.22139493516488776
BEX3,-0.22026799685150017,0.0,0.22026799685150017
LY6G6F,-0.21963414567153408,0.0,0.21963414567153408
ITGB3,-0.2193578023463671,0.0,0.2193578023463671
AHNAK,0.2172838795799211,0.0,0.2172838795799211
ESAM,-0.21683872087879258,0.0,0.21683872087879258
DMTN,-0.21528948786930044,0.0,0.21528948786930044
RPL22L1,0.21407175610930143,0.0,0.21407175610930143
PRKAR2B,-0.2140480285008485,0.0,0.2140480285008485
RPL35,0.21377083266835867,0.0,0.21377083266835867
MT-CYB,0.21362827875714777,0.0,0.21362827875714777
SAMD14,-0.2132185987144861,0.0,0.2132185987144861
