gene,importance
TMSB10,0.1937027473099954
PSME2,0.10322639414838064
MTRNR2L8,0.08756883450246472
XIST,0.0655219172878867
UPP1,0.05568499943141506
HLA-DQA2,0.05103547142982387
ISG20,0.03280469537954673
IFI44L,0.02838759623597893
IFI6,0.02627892063805548
HBB,0.021265803635335714
LTB,0.02116264363210556
CD52,0.02069503238881976
PPBP,0.019366008201197497
CYBB,0.011284352511790278
XAF1,0.010670867223425327
HLA-DRB5,0.01050809048778208
IL32,0.01046770305830514
S100A4,0.009287721158810106
CD63,0.008912385978813976
CTSS,0.007377413876158717
GAPDH,0.006578088104904269
GBP5,0.0061171487930419596
AREG,0.006106908222394933
SELL,0.005832656224673583
IFITM2,0.005825304186918305
FTH1,0.005280397988724099
SMOX,0.004998812415991067
ISG15,0.004968726277949961
GNLY,0.004778871878518003
RNF144B,0.0043860759878827805
CAVIN2,0.004199437941612693
ARPC5,0.0038824380160026677
THBS1,0.003691412603836284
NKG7,0.0036043234381189755
HLA-DQB1,0.0034960578711622685
MT-ND1,0.0034634508423359435
TRBC2,0.0033252894982553636
RAB31,0.003211665556690485
STAT1,0.003124784914270335
TMSB4X,0.0030506345798031317
PRDX2,0.0030346646102324816
PF4,0.002960943943806629
FOS,0.002933675560252479
CD8B,0.0029260175213772425
FKBP11,0.002718315868465632
PLAC8,0.002595600423516128
HMOX1,0.002399955351160806
IFNGR2,0.002163122068361473
TYMP,0.0021415539895086972
HBA2,0.0020873969576869784
OAZ1,0.001973174675716821
ITGB2,0.0019355336532974397
CYBA,0.0019040912432868617
S100A8,0.0018670997304217932
SAMHD1,0.001645649685598171
HIST1H1D,0.0016294015156928332
GADD45B,0.0015549508824467815
CD74,0.0014343746091494565
ASPH,0.0013927460639328757
AC147651.1,0.0013480322524410363
BLVRB,0.0013415587661102554
LCN2,0.0013281643369655186
SCGB3A1,0.0012486863934068773
TUBB1,0.0012284105535232063
GBP4,0.0011759017470922754
VCAN,0.0011752824407841608
SDC2,0.0011713787662544588
PMAIP1,0.0010054833710793846
HSP90AA1,0.0009600976342126274
