gene,rank,priority_score,log2fc,de_padj,de_score,shap_importance,centrality_score,trajectory_score,druggability_score,de_score_norm,shap_importance_norm,centrality_score_norm,trajectory_score_norm,druggability_score_norm
TMSB10,1,0.3551390391660739,1.8058935,0.0,541.76805,0.1937027473099954,0,0.2929122118196152,0.0,0.18116409308531314,1.0,0.0,0.39898677263163745,0.0
HLA-DQA2,2,0.32729190275355574,9.968275,0.0,2990.4825,0.0510354714298238,0,0.0559102411916045,0.0,1.0,0.2634731419072149,0.0,0.07615744851168023,0.0
CD52,3,0.2895097911727664,2.2823267,0.0,684.6980100000001,0.0206950323888197,0,0.0272133462825632,1.0,0.22895904256252964,0.10683912683850613,0.0,0.0370683254833828,1.0
PSME2,4,0.2309320838199839,2.7753136,0.0,832.59408,0.1032263941483806,0,0.1375317940565948,0.0,0.27841463041499154,0.5329113581604525,0.0,0.18733724450748598,0.0
IFI44L,5,0.20385647104095647,6.348998,3.394529305560085e-288,1825.1415056200956,0.0283875962359789,0,0.0716481453186334,0.0,0.6103167317046984,0.14655236763652268,0.0,0.0975946413710081,0.0
PPBP,6,0.1944499259919909,-4.5784197,0.0,1373.52591,0.0193660082011974,0,0.267377067681518,0.0,0.45929909638327593,0.09997797382917181,0.0,0.36420438959252643,0.0
PF4,7,0.17815412160480718,-4.7363157,0.0,1420.8947099999998,0.0029609439438066,0,0.2718661940286086,0.0,0.47513894831352455,0.015286019351434414,0.0,0.37031919792378293,0.0
MYL9,8,0.17369211727162986,-4.796117,0.0,1438.8351,0.0002455465346188,0,0.259839991531416,0.0,0.48113811065605633,0.0012676461125553148,0.0,0.35393785386317966,0.0
NRGN,9,0.16721555861106907,-3.3311427,1.6289446550906028e-302,999.3194339867174,0.0001058416007805,0,0.4088539105642186,0.0,0.33416662160260674,0.0005464124915642768,0.0,0.556915333916842,0.0
CYBB,10,0.16579676665955712,1.867436,1.5032052833606613e-253,472.1307376660166,0.0112843525117902,0,0.5469995835577047,0.0,0.15787777981179177,0.058256027178236656,0.0,0.7450887660803334,0.0
RPS25,11,0.1618218295219805,0.940268,0.0,282.0804,0.0,0,0.6765851208386193,0.0,0.09432604939169514,5.757906887061959e-19,0.0,0.9216021144937112,0.0
CTSS,12,0.15977617511511866,1.7308204,0.0,519.24612,0.0073774138761587,0,0.5229348203329687,0.0,0.1736328903446183,0.038086263507414966,0.0,0.7123092443474024,0.0
TREML1,13,0.15941809694679734,-4.483259,1.1442953176368323e-278,1246.083560442875,0.0002616112988684,0,0.2687426403027471,0.0,0.4166831139934358,0.001350581251435356,0.0,0.3660644875705304,0.0
LTB,14,0.15489743478130363,1.5472493,0.0,464.17479000000003,0.0211626436321055,0,0.4345120952576639,0.0,0.15521735706528964,0.10925319297736916,0.0,0.591865315137593,0.0
ISG20,15,0.15447668642531848,2.1465695,0.0,643.97085,0.0328046953795467,0,0.2853489842680404,0.0,0.21534011651965862,0.16935586012648113,0.0,0.3886846150918902,0.0
RPS27A,16,0.15343122424923697,0.69207436,4.2128926599082185e-123,84.69289020362356,0.0,0,0.7162810789250441,0.0,0.02832081117465946,5.757906887061959e-19,0.0,0.9756734763704807,0.0
GNG11,17,0.15332084506723653,-3.8516552,1.5872299246943974e-291,1120.0588677050266,0.0002820043987353,0,0.290335706846979,0.0,0.3745411878200346,0.0014558616367169523,0.0,0.3954772180203243,0.0
ITGA2B,18,0.15279621939690896,-4.2786,6.43039126728042e-273,1164.5996754643832,8.94188929496205e-06,0,0.2712688735390759,0.0,0.38943537555039465,4.6162945126699007e-05,0.0,0.36950556515352423,0.0
CD63,19,0.15204457743380462,-0.71986574,1.2434322302261518e-123,88.47537079738397,0.0089123859788139,0,0.6516497536935181,0.0,0.029585650742776113,0.046010632799909724,0.0,0.8876367103208876,0.0
