gene,correlation,pvalue,abs_correlation
RPS3,-0.7341401567967389,0.0,0.7341401567967389
RPS15A,-0.7230894591966367,0.0,0.7230894591966367
RPS12,-0.7217474520814771,0.0,0.7217474520814771
RPS27A,-0.7162810789250441,0.0,0.7162810789250441
RPS14,-0.7079711904786787,0.0,0.7079711904786787
FCER1G,0.7038765045692932,0.0,0.7038765045692932
RPL34,-0.7034166394268826,0.0,0.7034166394268826
RPL14,-0.7022646018258614,0.0,0.7022646018258614
RPL3,-0.702023084754016,0.0,0.702023084754016
OAZ1,0.7019284202951983,0.0,0.7019284202951983
RPS4X,-0.7011294051777169,0.0,0.7011294051777169
RPS3A,-0.7001106083354622,0.0,0.7001106083354622
RPL5,-0.6990010684162807,0.0,0.6990010684162807
RPL30,-0.6973861609342633,0.0,0.6973861609342633
RPL10,-0.6958984376921229,0.0,0.6958984376921229
EEF1A1,-0.6886648936275006,0.0,0.6886648936275006
RPL13,-0.6829678125421509,0.0,0.6829678125421509
RPS6,-0.6816641174746888,0.0,0.6816641174746888
H3F3A,0.6771034649602458,0.0,0.6771034649602458
RPS25,-0.6765851208386193,0.0,0.6765851208386193
MYL6,0.676193196573556,0.0,0.676193196573556
RPS27,-0.673479214928764,0.0,0.673479214928764
RPL32,-0.6729429852147032,0.0,0.6729429852147032
RPL11,-0.6675620200914598,0.0,0.6675620200914598
CST3,0.6672665742075337,0.0,0.6672665742075337
RPS29,-0.665430621996694,0.0,0.665430621996694
STXBP2,0.6641957300722864,0.0,0.6641957300722864
ACTB,0.6629162977282341,0.0,0.6629162977282341
RPSA,-0.6605695247163843,0.0,0.6605695247163843
RPL21,-0.6569886827464289,0.0,0.6569886827464289
RPL18,-0.6520535954677097,0.0,0.6520535954677097
RPS18,-0.6519690398130066,0.0,0.6519690398130066
CD63,0.6516497536935181,0.0,0.6516497536935181
RPL19,-0.6503961762483907,0.0,0.6503961762483907
FTH1,0.6480556284132912,0.0,0.6480556284132912
SH3BGRL3,0.6480533044629546,0.0,0.6480533044629546
RPL35A,-0.6452837829731026,0.0,0.6452837829731026
TIMP1,0.6422246407765957,0.0,0.6422246407765957
CD68,0.6416537661729471,0.0,0.6416537661729471
RPL10A,-0.6400213614035852,0.0,0.6400213614035852
EEF1B2,-0.6395700806184049,0.0,0.6395700806184049
RPS21,-0.6355279686922986,0.0,0.6355279686922986
RPS2,-0.6336295649482243,0.0,0.6336295649482243
RPL6,-0.6327488375721819,0.0,0.6327488375721819
SERPINA1,0.6321547450327819,0.0,0.6321547450327819
TPT1,-0.6308785884448151,0.0,0.6308785884448151
RPL23A,-0.629979471923436,0.0,0.629979471923436
RPS16,-0.6285235042476636,0.0,0.6285235042476636
FTL,0.6271217403117748,0.0,0.6271217403117748
RPL37,-0.6264805738581738,0.0,0.6264805738581738
SAT1,0.6263855073169667,0.0,0.6263855073169667
RPL9,-0.6225566367952492,0.0,0.6225566367952492
GSTO1,0.6216862031960001,0.0,0.6216862031960001
RAB32,0.6204437143129701,0.0,0.6204437143129701
PLEK,0.619675345627769,0.0,0.619675345627769
RPS5,-0.6192717046460187,0.0,0.6192717046460187
RPL29,-0.619102640532689,0.0,0.619102640532689
RPS13,-0.6137239507094279,0.0,0.6137239507094279
RPL36,-0.6134581490238612,0.0,0.6134581490238612
LST1,0.6130108308114292,0.0,0.6130108308114292
TYROBP,0.6111835433283744,0.0,0.6111835433283744
RPL7A,-0.6105394921569558,0.0,0.6105394921569558
RPL26,-0.6099111345184292,0.0,0.6099111345184292
RPS23,-0.6098430509080671,0.0,0.6098430509080671
RPS10,-0.6081968019165823,0.0,0.6081968019165823
SPI1,0.6069547937270525,0.0,0.6069547937270525
RPS8,-0.6045625050131146,0.0,0.6045625050131146
CFL1,0.6044871396411302,0.0,0.6044871396411302
LYZ,0.6032844959150119,0.0,0.6032844959150119
IL7R,-0.6018052014531989,0.0,0.6018052014531989
RPLP2,-0.5992337674703279,0.0,0.5992337674703279
COTL1,0.5991225175009846,0.0,0.5991225175009846
RPL22,-0.59881553164169,0.0,0.59881553164169
RPS7,-0.597979101060208,0.0,0.597979101060208
CTSD,0.5979774574372565,0.0,0.5979774574372565
SERF2,0.5961908836477143,0.0,0.5961908836477143
RAB31,0.5934676452690071,0.0,0.5934676452690071
RPL41,-0.5921663492478856,0.0,0.5921663492478856
RPL13A,-0.5920071337092409,0.0,0.5920071337092409
RPL28,-0.5919704083386068,0.0,0.5919704083386068
RPLP0,-0.5917659133492039,0.0,0.5917659133492039
NPM1,-0.5912730078432633,0.0,0.5912730078432633
ZFP36L2,-0.5907711850126333,0.0,0.5907711850126333
RPS15,-0.590324576697846,0.0,0.590324576697846
RPS28,-0.5903137668868172,0.0,0.5903137668868172
CD3E,-0.5892984511924338,0.0,0.5892984511924338
MAFB,0.5864230856042217,0.0,0.5864230856042217
S100A11,0.5850028026527528,0.0,0.5850028026527528
TALDO1,0.5848990603267298,0.0,0.5848990603267298
FKBP1A,0.5821304994462697,0.0,0.5821304994462697
S100A9,0.5808902151463625,0.0,0.5808902151463625
RPL18A,-0.5751823875746691,0.0,0.5751823875746691
EEF1D,-0.5746340740413556,0.0,0.5746340740413556
PSAP,0.5745086529250801,0.0,0.5745086529250801
S100A8,0.5739578719314599,0.0,0.5739578719314599
ARPC1B,0.5728740969531225,0.0,0.5728740969531225
LGALS1,0.5686174694560582,0.0,0.5686174694560582
PIK3IP1,-0.5659442099562156,0.0,0.5659442099562156
CLIC1,0.5643370411159562,0.0,0.5643370411159562
RPL24,-0.5638462695406921,0.0,0.5638462695406921
ARPC5,0.561888989662627,0.0,0.561888989662627
TPM3,0.5614650911427314,0.0,0.5614650911427314
S100A12,0.5613339034207447,0.0,0.5613339034207447
CLEC7A,0.5598866881392519,0.0,0.5598866881392519
LILRA5,0.5586920493816581,0.0,0.5586920493816581
SARAF,-0.5583932849638616,0.0,0.5583932849638616
RPS26,-0.5580862609343555,0.0,0.5580862609343555
TYMP,0.555703980821315,0.0,0.555703980821315
PKM,0.5549955793730954,0.0,0.5549955793730954
NOP53,-0.5542792777721781,0.0,0.5542792777721781
RPL12,-0.5500728606092226,0.0,0.5500728606092226
NAMPT,0.5487413599162786,0.0,0.5487413599162786
GNG5,0.5474523888439812,0.0,0.5474523888439812
RPL39,-0.5473317730132077,0.0,0.5473317730132077
CEBPD,0.547030161834519,0.0,0.547030161834519
CYBB,0.5469995835577047,0.0,0.5469995835577047
GAPDH,0.5464654207471846,0.0,0.5464654207471846
ARPC3,0.5461074080441811,0.0,0.5461074080441811
GRINA,0.5458610030320882,0.0,0.5458610030320882
IFITM3,0.5453519014400456,0.0,0.5453519014400456
GRN,0.5452048568191452,0.0,0.5452048568191452
AIF1,0.5450109673539512,0.0,0.5450109673539512
RETN,0.5432545416842429,0.0,0.5432545416842429
RPS19,-0.5432233284026985,0.0,0.5432233284026985
PFN1,0.5411968633591304,0.0,0.5411968633591304
LRRC25,0.5402475544776011,0.0,0.5402475544776011
IL32,-0.5385963626758707,0.0,0.5385963626758707
BCL2A1,0.5384214380783686,0.0,0.5384214380783686
FCGR2A,0.5361700549389625,0.0,0.5361700549389625
GLUL,0.5351872575311022,0.0,0.5351872575311022
NACA,-0.5335736309404916,0.0,0.5335736309404916
RPL31,-0.5330878301005295,0.0,0.5330878301005295
CD3D,-0.5329829412323457,0.0,0.5329829412323457
FCN1,0.532659110165804,0.0,0.532659110165804
LEPROTL1,-0.5321082356429897,0.0,0.5321082356429897
RPLP1,-0.5292502057820077,0.0,0.5292502057820077
CTSB,0.5289360526254014,0.0,0.5289360526254014
ARPC2,0.5277815508622816,0.0,0.5277815508622816
BTG1,-0.5271762407512579,0.0,0.5271762407512579
ATP6V0B,0.5267840898133981,0.0,0.5267840898133981
ZYX,0.5262351686399244,0.0,0.5262351686399244
CAP1,0.5250080984064172,0.0,0.5250080984064172
CSTA,0.5234454302774304,0.0,0.5234454302774304
RPL15,-0.5233119164580192,0.0,0.5233119164580192
TIMP2,0.5229565138598843,0.0,0.5229565138598843
CTSS,0.5229348203329687,0.0,0.5229348203329687
APLP2,0.5228471755420216,0.0,0.5228471755420216
AP2S1,0.5227325522315285,0.0,0.5227325522315285
VASP,0.5221170153250052,0.0,0.5221170153250052
RHOA,0.5210411815242569,0.0,0.5210411815242569
ANXA5,0.520851529777367,0.0,0.520851529777367
LYN,0.5207798265396004,0.0,0.5207798265396004
ATP5F1E,0.5177958207740676,0.0,0.5177958207740676
CD14,0.5173568662735684,0.0,0.5173568662735684
RPL38,-0.5172224568799777,0.0,0.5172224568799777
ASAH1,0.5149191714695578,0.0,0.5149191714695578
SOD2,0.5147615353497413,0.0,0.5147615353497413
KLF4,0.5147587331780002,0.0,0.5147587331780002
VCAN,0.5133427410284322,0.0,0.5133427410284322
C5AR1,0.5130819885923643,0.0,0.5130819885923643
LGALS3,0.5119935360522718,0.0,0.5119935360522718
BLOC1S1,0.5113267295536298,0.0,0.5113267295536298
LILRB2,0.5104148897238273,0.0,0.5104148897238273
MARCKS,0.509643524282605,0.0,0.509643524282605
RPL37A,-0.5077843717435045,0.0,0.5077843717435045
DDX24,-0.5055511796681861,0.0,0.5055511796681861
RACK1,-0.5054156626942466,0.0,0.5054156626942466
RAC1,0.5050894896558339,0.0,0.5050894896558339
TOMM7,-0.5026849897393604,0.0,0.5026849897393604
ETS2,0.5026090917795123,0.0,0.5026090917795123
PGD,0.5021766963579571,0.0,0.5021766963579571
CD69,-0.5014258072328949,0.0,0.5014258072328949
CYBA,0.5005490584416068,0.0,0.5005490584416068
CD163,0.5003633548121889,0.0,0.5003633548121889
RNF144B,0.4994570703257031,0.0,0.4994570703257031
MAP3K8,0.499292574599231,0.0,0.499292574599231
SMIM25,0.49884559052109223,0.0,0.49884559052109223
FPR1,0.49596307535375966,0.0,0.49596307535375966
HMOX1,0.4950417105717587,0.0,0.4950417105717587
GNB2,0.49475462936267567,0.0,0.49475462936267567
TMSB4X,0.49437878502196847,0.0,0.49437878502196847
BTF3,-0.49341910361039604,0.0,0.49341910361039604
FGR,0.492460965471525,0.0,0.492460965471525
FERMT3,0.49222622161520874,0.0,0.49222622161520874
NPC2,0.4915733942766631,0.0,0.4915733942766631
RPL4,-0.49066149198481807,0.0,0.49066149198481807
THBS1,0.4902953309355937,0.0,0.4902953309355937
ADM,0.4899913817104936,0.0,0.4899913817104936
RPS20,-0.4897872281965067,0.0,0.4897872281965067
PLBD1,0.4891503741882623,0.0,0.4891503741882623
UBE2J1,0.4888248206808992,0.0,0.4888248206808992
TXNIP,-0.4857643958486206,0.0,0.4857643958486206
CFP,0.4853422603624712,0.0,0.4853422603624712
CXCL8,0.4852194434115477,0.0,0.4852194434115477
TSPO,0.484529269730167,0.0,0.484529269730167
CALM3,0.48368805472943077,0.0,0.48368805472943077
CTSA,0.4832306280106406,0.0,0.4832306280106406
MALAT1,-0.482447777616843,0.0,0.482447777616843
HSBP1,0.4810259069633226,0.0,0.4810259069633226
CTSZ,0.4793003991356825,0.0,0.4793003991356825
DUSP6,0.4781731518548855,0.0,0.4781731518548855
TAGLN2,0.47678371016164384,0.0,0.47678371016164384
LILRB1,0.4764495938825332,0.0,0.4764495938825332
RPL27A,-0.47627708221451454,0.0,0.47627708221451454
PLAUR,0.47577832118960905,0.0,0.47577832118960905
CD36,0.4754176949781867,0.0,0.4754176949781867
LMO2,0.4750831679274936,0.0,0.4750831679274936
SNX3,0.4750804289725214,0.0,0.4750804289725214
ETS1,-0.47273260959687113,0.0,0.47273260959687113
MS4A6A,0.4723401421227264,0.0,0.4723401421227264
ZEB2,0.4717499245415622,0.0,0.4717499245415622
ANXA2,0.471695380792594,0.0,0.471695380792594
ACSL1,0.4697737446879981,0.0,0.4697737446879981
PYCARD,0.4687588014548875,0.0,0.4687588014548875
PECAM1,0.4685468010109815,0.0,0.4685468010109815
MAL,-0.4681026813294469,0.0,0.4681026813294469
CAPNS1,0.46638744360676926,0.0,0.46638744360676926
LILRA1,0.4648275372970799,0.0,0.4648275372970799
EFHD2,0.46423121960152297,0.0,0.46423121960152297
CLU,0.46344141654420395,0.0,0.46344141654420395
TBXAS1,0.46328182554463293,0.0,0.46328182554463293
GNAI2,0.46299798894398203,0.0,0.46299798894398203
LCP1,0.4596706678197112,0.0,0.4596706678197112
CTSL,0.4588566424734091,0.0,0.4588566424734091
NAA38,0.4584773305126236,0.0,0.4584773305126236
SRGN,0.45764917224904617,0.0,0.45764917224904617
RTN3,0.45732490517606217,0.0,0.45732490517606217
TPP1,0.4549287959014733,0.0,0.4549287959014733
S100A6,0.4534660834865913,0.0,0.4534660834865913
SH3BGRL,0.4528390264618864,0.0,0.4528390264618864
PNRC1,-0.45270493307539145,0.0,0.45270493307539145
LMNA,0.45254692059517,0.0,0.45254692059517
RPL7,-0.4518868567739941,0.0,0.4518868567739941
C1orf162,0.45113495889921457,0.0,0.45113495889921457
SYNE2,-0.45069251512110553,0.0,0.45069251512110553
TLN1,0.44871203869062254,0.0,0.44871203869062254
FBP1,0.44861941583695436,0.0,0.44861941583695436
MPP1,0.4481573565415296,0.0,0.4481573565415296
IRAK3,0.44731279394129575,0.0,0.44731279394129575
TPM4,0.4469651406661236,0.0,0.4469651406661236
ATOX1,0.44685038461205895,0.0,0.44685038461205895
PRELID1,0.446478466834694,0.0,0.446478466834694
BRI3,0.446419436337408,0.0,0.446419436337408
ENO1,0.44611798861948176,0.0,0.44611798861948176
EIF3E,-0.4458195528474554,0.0,0.4458195528474554
RPS24,-0.4450839288279872,0.0,0.4450839288279872
RPL8,-0.4450328213340466,0.0,0.4450328213340466
CTSH,0.44407468674357103,0.0,0.44407468674357103
FLNA,0.443330282746981,0.0,0.443330282746981
SLC11A1,0.44306826565147467,0.0,0.44306826565147467
CAPG,0.44157442422516585,0.0,0.44157442422516585
CEBPB,0.44028593983342795,0.0,0.44028593983342795
CD7,-0.4387187319205953,0.0,0.4387187319205953
LDHB,-0.4382193849941376,0.0,0.4382193849941376
AGTRAP,0.438210442424191,0.0,0.438210442424191
RHOG,0.4380825389400393,0.0,0.4380825389400393
FCGRT,0.43784279446137425,0.0,0.43784279446137425
WDR1,0.4375135055474083,0.0,0.4375135055474083
IFI30,0.4371805769461564,0.0,0.4371805769461564
ARRB2,0.4370241187006371,0.0,0.4370241187006371
AGFG1,0.4358794629787793,0.0,0.4358794629787793
SNX18,0.4357951165879448,0.0,0.4357951165879448
